run1_srcid,sector,input_file,source_file,source_member,aermod_srcid,facility_id,facility_name,region_cd,erptype,unit_id,rel_point_id,process_id,scc,poll,longitude,latitude,utm_e_m,utm_n_m,src_elev_m,ann_value,emis_gps,so2_ann_value_total,so2_emis_gps_total,so2_allocation_fraction,allocation_basis,stkhgt,stkhgt_m,stkdiam,stkdiam_m,stktemp,stktemp_k,stkvel,stkvel_mps,srcgroup,rank
Q0000412,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_136462813_141579612_214331714,4835311,GALVESTON BAY REFINERY,48167,2,136462813,141579612,214331714,20200102,SO2,-94.925,29.374722,313166.9946195772,3251042.661206736,0.0,0.06595996322214845,0.0018974464766011636,645.6491,18.573154836210488,0.00010216069877917966,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,7.0,2.1336,2.0,0.6096,538.0,554.2611111111111,88.0,26.8224,FAC001,1
Q0000413,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_136463413_141579212_214332314,4835311,GALVESTON BAY REFINERY,48167,3,136463413,141579212,214332314,40301102,SO2,-94.926583,29.366846999999996,312998.92520308256,3250172.40701505,0.0,10.145466843106705,0.29185098618221644,645.6491,18.573154836210488,0.01571359248097257,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000414,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_136463513_141579312_214332414,4835311,GALVESTON BAY REFINERY,48167,3,136463513,141579312,214332414,40301107,SO2,-94.925,29.374722,313166.9946195772,3251042.661206736,0.0,0.44935224945088625,0.012926354121845425,645.6491,18.573154836210488,0.0006959697604331614,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000415,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_136463613_141579412_214332514,4835311,GALVESTON BAY REFINERY,48167,3,136463613,141579412,214332514,40301107,SO2,-94.932836,29.370406,312398.39466492995,3250576.8831027127,0.0,0.41224977013842773,0.011859040478757271,645.6491,18.573154836210488,0.0006385043673698728,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000468,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_139023113_144365912_220719214,4835311,GALVESTON BAY REFINERY,48167,3,139023113,144365912,220719214,30600508,SO2,-94.928194,29.367675,312844.0399900275,3250266.755589053,0.0,0.4864547287633447,0.01399366776493358,645.6491,18.573154836210488,0.0007534351534964499,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000467,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_139023113_144366012_220719314,4835311,GALVESTON BAY REFINERY,48167,3,139023113,144366012,220719314,30600508,SO2,-94.928167,29.367981,312847.2211303426,3250300.626391513,0.0,0.22673737357613524,0.006522472263316499,645.6491,18.573154836210488,0.00035117740205343003,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000471,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_139023513_144365812_220719714,4835311,GALVESTON BAY REFINERY,48167,3,139023513,144365812,220719714,20200102,SO2,-94.9323,29.377919,312464.20899594814,3251408.691956507,0.0,0.008244995402768556,0.00023718080957514545,645.6491,18.573154836210488,1.2770087347397457e-05,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000470,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_139023513_30401612_242220114,4835311,GALVESTON BAY REFINERY,48167,2,139023513,30401612,242220114,20200102,SO2,-94.923606,29.364853000000004,313284.3005276071,3249946.6477849004,0.0,0.004122497701384278,0.00011859040478757272,645.6491,18.573154836210488,6.385043673698729e-06,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,37.0,11.2776,32.0,9.7536,80.0,299.81666666666666,0.1,0.03048,FAC001,1
Q0000469,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_139023513_30405612_242220214,4835311,GALVESTON BAY REFINERY,48167,2,139023513,30405612,242220214,20200102,SO2,-94.923611,29.364989,313284.0633500278,3249961.7286768067,0.0,0.004122497701384278,0.00011859040478757272,645.6491,18.573154836210488,6.385043673698729e-06,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,37.0,11.2776,32.0,9.7536,80.0,299.81666666666666,0.1,0.03048,FAC001,1
Q0000472,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_139025613_144367712_220721814,4835311,GALVESTON BAY REFINERY,48167,3,139025613,144367712,220721814,30699999,SO2,-94.923533,29.369844,313300.4982456587,3250499.6843914227,0.0,0.1277974287429126,0.0036763025484147544,645.6491,18.573154836210488,0.00019793635388466057,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
