scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC016_20210626_hr05,FAC016,2021-06-26 04:00:00,facility_z_h0_FAC016_20210626_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,63.04758,0.01236443562648264
FAC016_20210628_hr22,FAC016,2021-06-28 21:00:00,facility_z_h0_FAC016_20210628_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,160.81046,0.01758256243260729
FAC016_20210701_hr16,FAC016,2021-07-01 15:00:00,facility_z_h0_FAC016_20210701_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,3.46256,0.0017917312917834806
FAC016_20210702_hr18,FAC016,2021-07-02 17:00:00,facility_z_h0_FAC016_20210702_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.59608,0.002115334914815614
FAC016_20210703_hr12,FAC016,2021-07-03 11:00:00,facility_z_h0_FAC016_20210703_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.59926,0.0013528259650636184
FAC016_20210706_hr16,FAC016,2021-07-06 15:00:00,facility_z_h0_FAC016_20210706_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,4.95578,0.001936423118395514
FAC016_20210709_hr17,FAC016,2021-07-09 16:00:00,facility_z_h0_FAC016_20210709_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,4.2786,0.002734508518438646
FAC016_20210711_hr13,FAC016,2021-07-11 12:00:00,facility_z_h0_FAC016_20210711_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.64122,0.001522777657968514
FAC016_20210711_hr14,FAC016,2021-07-11 13:00:00,facility_z_h0_FAC016_20210711_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.38013,0.0011787116670260946
FAC016_20210712_hr14,FAC016,2021-07-12 13:00:00,facility_z_h0_FAC016_20210712_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,3.57189,0.0017850329954712098
FAC016_20210712_hr22,FAC016,2021-07-12 21:00:00,facility_z_h0_FAC016_20210712_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,59.0319,0.007134151390985551
FAC016_20210713_hr18,FAC016,2021-07-13 17:00:00,facility_z_h0_FAC016_20210713_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,4.28312,0.002381156351089066
FAC016_20210716_hr06,FAC016,2021-07-16 05:00:00,facility_z_h0_FAC016_20210716_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,7.29174,0.003966166055639422
FAC016_20210718_hr15,FAC016,2021-07-18 14:00:00,facility_z_h0_FAC016_20210718_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,7.33835,0.001976681043778305
FAC016_20210722_hr13,FAC016,2021-07-22 12:00:00,facility_z_h0_FAC016_20210722_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,4.02021,0.001841432391632521
FAC016_20210725_hr12,FAC016,2021-07-25 11:00:00,facility_z_h0_FAC016_20210725_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,10.2135,0.002934750485227518
FAC016_20210726_hr13,FAC016,2021-07-26 12:00:00,facility_z_h0_FAC016_20210726_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,3.66235,0.0016086197972827257
FAC016_20210728_hr16,FAC016,2021-07-28 15:00:00,facility_z_h0_FAC016_20210728_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,3.896,0.001952186758680181
FAC016_20210729_hr13,FAC016,2021-07-29 12:00:00,facility_z_h0_FAC016_20210729_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,10.36028,0.0026035130472288116
FAC016_20210730_hr17,FAC016,2021-07-30 16:00:00,facility_z_h0_FAC016_20210730_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC016_20210731_hr01,FAC016,2021-07-31 00:00:00,facility_z_h0_FAC016_20210731_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,32.49685,0.011108211343541083
FAC016_20210731_hr24,FAC016,2021-07-31 23:00:00,facility_z_h0_FAC016_20210731_hr24.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,5.30734,0.004582996333836532
FAC016_20210801_hr15,FAC016,2021-08-01 14:00:00,facility_z_h0_FAC016_20210801_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.64729,0.0012695190856157003
