scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC013_20210626_hr05,FAC013,2021-06-26 04:00:00,facility_z_h0_FAC013_20210626_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,8.51232,0.007656853137804615
FAC013_20210628_hr22,FAC013,2021-06-28 21:00:00,facility_z_h0_FAC013_20210628_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,5.2748,0.007876117317230967
FAC013_20210701_hr16,FAC013,2021-07-01 15:00:00,facility_z_h0_FAC013_20210701_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.06409,0.0013050092732370068
FAC013_20210702_hr18,FAC013,2021-07-02 17:00:00,facility_z_h0_FAC013_20210702_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.74344,0.002274634030623248
FAC013_20210703_hr12,FAC013,2021-07-03 11:00:00,facility_z_h0_FAC013_20210703_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.00304,0.001422373517360362
FAC013_20210706_hr16,FAC013,2021-07-06 15:00:00,facility_z_h0_FAC013_20210706_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.97023,0.0012940211343541082
FAC013_20210709_hr17,FAC013,2021-07-09 16:00:00,facility_z_h0_FAC013_20210709_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,5.24982,0.0024560280353676947
FAC013_20210711_hr13,FAC013,2021-07-11 12:00:00,facility_z_h0_FAC013_20210711_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.70845,0.001250684494285098
FAC013_20210711_hr14,FAC013,2021-07-11 13:00:00,facility_z_h0_FAC013_20210711_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.97492,0.0008910705197325856
FAC013_20210712_hr14,FAC013,2021-07-12 13:00:00,facility_z_h0_FAC013_20210712_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.01457,0.001283050679318525
FAC013_20210712_hr22,FAC013,2021-07-12 21:00:00,facility_z_h0_FAC013_20210712_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.16497,0.0034405098123786925
FAC013_20210713_hr18,FAC013,2021-07-13 17:00:00,facility_z_h0_FAC013_20210713_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.50177,0.002014872546905326
FAC013_20210716_hr06,FAC013,2021-07-16 05:00:00,facility_z_h0_FAC013_20210716_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.07814,0.002950015527280569
FAC013_20210718_hr15,FAC013,2021-07-18 14:00:00,facility_z_h0_FAC013_20210718_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.16892,0.0012726413629501835
FAC013_20210722_hr13,FAC013,2021-07-22 12:00:00,facility_z_h0_FAC013_20210722_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.06611,0.0012665986629286175
FAC013_20210725_hr12,FAC013,2021-07-25 11:00:00,facility_z_h0_FAC013_20210725_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,1.80443,0.001998747897347423
FAC013_20210726_hr13,FAC013,2021-07-26 12:00:00,facility_z_h0_FAC013_20210726_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.55073,0.0016599849040327798
FAC013_20210728_hr16,FAC013,2021-07-28 15:00:00,facility_z_h0_FAC013_20210728_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.94691,0.001694669829631227
FAC013_20210729_hr13,FAC013,2021-07-29 12:00:00,facility_z_h0_FAC013_20210729_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.724,0.0018278188483933579
FAC013_20210730_hr17,FAC013,2021-07-30 16:00:00,facility_z_h0_FAC013_20210730_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC013_20210731_hr01,FAC013,2021-07-31 00:00:00,facility_z_h0_FAC013_20210731_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,7.65764,0.007788879016605565
FAC013_20210731_hr24,FAC013,2021-07-31 23:00:00,facility_z_h0_FAC013_20210731_hr24.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,3.07727,0.004050682769031702
FAC013_20210801_hr15,FAC013,2021-08-01 14:00:00,facility_z_h0_FAC013_20210801_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.03381,0.0009458473150744015
