scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC020_20210101_hr12,FAC020,2021-01-01 11:00:00,facility_z_h0_FAC020_20210101_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,118.89164,0.0807832611602329
FAC020_20210102_hr20,FAC020,2021-01-02 19:00:00,facility_z_h0_FAC020_20210102_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,646.06207,0.39615268449428515
FAC020_20210104_hr02,FAC020,2021-01-04 01:00:00,facility_z_h0_FAC020_20210104_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,404.82693,0.2519863135648049
FAC020_20210104_hr11,FAC020,2021-01-04 10:00:00,facility_z_h0_FAC020_20210104_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,168.50506,0.07796944144921285
FAC020_20210105_hr09,FAC020,2021-01-05 08:00:00,facility_z_h0_FAC020_20210105_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,86.99765,0.048970904032779816
FAC020_20210107_hr16,FAC020,2021-01-07 15:00:00,facility_z_h0_FAC020_20210107_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,238.60152,0.0755283791244339
FAC020_20210114_hr09,FAC020,2021-01-14 08:00:00,facility_z_h0_FAC020_20210114_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,100.72033,0.061460258788009474
FAC020_20210114_hr14,FAC020,2021-01-14 13:00:00,facility_z_h0_FAC020_20210114_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,220.25548,0.08699598317877938
FAC020_20210116_hr18,FAC020,2021-01-16 17:00:00,facility_z_h0_FAC020_20210116_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,930.87081,0.5678332352814319
FAC020_20210116_hr21,FAC020,2021-01-16 20:00:00,facility_z_h0_FAC020_20210116_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,626.60981,0.5338358882898425
