scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC009_20210626_hr05,FAC009,2021-06-26 04:00:00,facility_z_h0_FAC009_20210626_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2690.4044,0.1820328609014449
FAC009_20210628_hr22,FAC009,2021-06-28 21:00:00,facility_z_h0_FAC009_20210628_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2662.67019,0.18005159801595857
FAC009_20210701_hr16,FAC009,2021-07-01 15:00:00,facility_z_h0_FAC009_20210701_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,605.52235,0.04513464179426351
FAC009_20210702_hr18,FAC009,2021-07-02 17:00:00,facility_z_h0_FAC009_20210702_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,670.58292,0.05418667371145135
FAC009_20210703_hr12,FAC009,2021-07-03 11:00:00,facility_z_h0_FAC009_20210703_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,534.05008,0.03857702954496441
FAC009_20210706_hr16,FAC009,2021-07-06 15:00:00,facility_z_h0_FAC009_20210706_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,608.482,0.04725553978865644
FAC009_20210709_hr17,FAC009,2021-07-09 16:00:00,facility_z_h0_FAC009_20210709_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,738.04189,0.07129332973905543
FAC009_20210711_hr13,FAC009,2021-07-11 12:00:00,facility_z_h0_FAC009_20210711_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,566.58705,0.0403511882682769
FAC009_20210711_hr14,FAC009,2021-07-11 13:00:00,facility_z_h0_FAC009_20210711_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,447.4417,0.028405105887427215
FAC009_20210712_hr14,FAC009,2021-07-12 13:00:00,facility_z_h0_FAC009_20210712_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,603.66555,0.04506142764718568
FAC009_20210712_hr22,FAC009,2021-07-12 21:00:00,facility_z_h0_FAC009_20210712_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1398.61362,0.08483864697002373
FAC009_20210713_hr18,FAC009,2021-07-13 17:00:00,facility_z_h0_FAC009_20210713_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,660.49901,0.05367092904895405
FAC009_20210716_hr06,FAC009,2021-07-16 05:00:00,facility_z_h0_FAC009_20210716_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1185.83884,0.07057630968298469
FAC009_20210718_hr15,FAC009,2021-07-18 14:00:00,facility_z_h0_FAC009_20210718_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,605.49526,0.0475014060815182
FAC009_20210722_hr13,FAC009,2021-07-22 12:00:00,facility_z_h0_FAC009_20210722_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,603.25874,0.04568621220616777
FAC009_20210725_hr12,FAC009,2021-07-25 11:00:00,facility_z_h0_FAC009_20210725_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,827.86725,0.07629311020056069
FAC009_20210726_hr13,FAC009,2021-07-26 12:00:00,facility_z_h0_FAC009_20210726_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,598.98794,0.04500937416433035
FAC009_20210728_hr16,FAC009,2021-07-28 15:00:00,facility_z_h0_FAC009_20210728_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,608.43874,0.046404132413198185
FAC009_20210729_hr13,FAC009,2021-07-29 12:00:00,facility_z_h0_FAC009_20210729_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,742.08253,0.06611897433685572
FAC009_20210730_hr17,FAC009,2021-07-30 16:00:00,facility_z_h0_FAC009_20210730_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC009_20210731_hr01,FAC009,2021-07-31 00:00:00,facility_z_h0_FAC009_20210731_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2680.75581,0.18235228984257063
FAC009_20210731_hr24,FAC009,2021-07-31 23:00:00,facility_z_h0_FAC009_20210731_hr24.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1408.19861,0.08497303040759113
FAC009_20210801_hr15,FAC009,2021-08-01 14:00:00,facility_z_h0_FAC009_20210801_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,473.13776,0.030605947811084746
