scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC013_20210101_hr12,FAC013,2021-01-01 11:00:00,facility_z_h0_FAC013_20210101_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,11.47931,0.005369706706922578
FAC013_20210102_hr20,FAC013,2021-01-02 19:00:00,facility_z_h0_FAC013_20210102_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,28.68525,0.026849271943066636
FAC013_20210104_hr02,FAC013,2021-01-04 01:00:00,facility_z_h0_FAC013_20210104_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,12.15022,0.016813516066422257
FAC013_20210104_hr11,FAC013,2021-01-04 10:00:00,facility_z_h0_FAC013_20210104_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,6.05013,0.0034858171231399605
FAC013_20210105_hr09,FAC013,2021-01-05 08:00:00,facility_z_h0_FAC013_20210105_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,3.86942,0.00411259305585508
FAC013_20210107_hr16,FAC013,2021-01-07 15:00:00,facility_z_h0_FAC013_20210107_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.78088,0.003736397239594566
FAC013_20210114_hr09,FAC013,2021-01-14 08:00:00,facility_z_h0_FAC013_20210114_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,4.14691,0.004246568470994177
FAC013_20210114_hr14,FAC013,2021-01-14 13:00:00,facility_z_h0_FAC013_20210114_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,7.79087,0.003896700021565667
FAC013_20210116_hr18,FAC013,2021-01-16 17:00:00,facility_z_h0_FAC013_20210116_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,60.96503,0.03146996592624542
FAC013_20210116_hr21,FAC013,2021-01-16 20:00:00,facility_z_h0_FAC013_20210116_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,30.98391,0.04057001380202717
FAC013_20210117_hr03,FAC013,2021-01-17 02:00:00,facility_z_h0_FAC013_20210117_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,31.4233,0.01559633124865215
FAC013_20210121_hr10,FAC013,2021-01-21 09:00:00,facility_z_h0_FAC013_20210121_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,5.38874,0.005682092301056718
FAC013_20210122_hr15,FAC013,2021-01-22 14:00:00,facility_z_h0_FAC013_20210122_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,4.18238,0.007492624973042916
