scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC002_20210101_hr12,FAC002,2021-01-01 11:00:00,facility_z_h0_FAC002_20210101_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,4.73688,0.0023000646970023726
FAC002_20210102_hr20,FAC002,2021-01-02 19:00:00,facility_z_h0_FAC002_20210102_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,8.49026,0.008519657968514125
FAC002_20210104_hr02,FAC002,2021-01-04 01:00:00,facility_z_h0_FAC002_20210104_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,6e-05,5.52359,0.008455510890662066
FAC002_20210104_hr11,FAC002,2021-01-04 10:00:00,facility_z_h0_FAC002_20210104_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.72577,0.0015771408238084968
FAC002_20210105_hr09,FAC002,2021-01-05 08:00:00,facility_z_h0_FAC002_20210105_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.79467,0.0029891610955359066
FAC002_20210107_hr16,FAC002,2021-01-07 15:00:00,facility_z_h0_FAC002_20210107_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.58135,0.0010463032132844512
FAC002_20210114_hr09,FAC002,2021-01-14 08:00:00,facility_z_h0_FAC002_20210114_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.49993,0.002102145783912012
FAC002_20210114_hr14,FAC002,2021-01-14 13:00:00,facility_z_h0_FAC002_20210114_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.2744,0.0017257752857450937
FAC002_20210116_hr18,FAC002,2021-01-16 17:00:00,facility_z_h0_FAC002_20210116_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,8.41805,0.010139434116885917
FAC002_20210116_hr21,FAC002,2021-01-16 20:00:00,facility_z_h0_FAC002_20210116_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,8.30429,0.014427314211774855
FAC002_20210117_hr03,FAC002,2021-01-17 02:00:00,facility_z_h0_FAC002_20210117_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,4.77311,0.0068840276040543465
FAC002_20210121_hr10,FAC002,2021-01-21 09:00:00,facility_z_h0_FAC002_20210121_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,6e-05,2.38394,0.00245664308820358
FAC002_20210122_hr15,FAC002,2021-01-22 14:00:00,facility_z_h0_FAC002_20210122_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,6e-05,2.65585,0.0031170222126374815
FAC002_20210122_hr17,FAC002,2021-01-22 16:00:00,facility_z_h0_FAC002_20210122_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,2.80521,0.0026935065775285745
FAC002_20210130_hr23,FAC002,2021-01-30 22:00:00,facility_z_h0_FAC002_20210130_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,4.41927,0.004172549061893465
FAC002_20210201_hr05,FAC002,2021-02-01 04:00:00,facility_z_h0_FAC002_20210201_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.35034,0.003111469484580548
FAC002_20210201_hr18,FAC002,2021-02-01 17:00:00,facility_z_h0_FAC002_20210201_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.02228,0.003581679965494933
FAC002_20210202_hr17,FAC002,2021-02-02 16:00:00,facility_z_h0_FAC002_20210202_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.24538,0.0017862117748544317
FAC002_20210204_hr17,FAC002,2021-02-04 16:00:00,facility_z_h0_FAC002_20210204_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.30007,0.001506550355833513
FAC002_20210206_hr14,FAC002,2021-02-06 13:00:00,facility_z_h0_FAC002_20210206_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,3.97815,0.0024091645460427003
FAC002_20210209_hr02,FAC002,2021-02-09 01:00:00,facility_z_h0_FAC002_20210209_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,4.76972,0.010539243476385594
FAC002_20210211_hr18,FAC002,2021-02-11 17:00:00,facility_z_h0_FAC002_20210211_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.78451,0.0021929661419020923
FAC002_20210213_hr09,FAC002,2021-02-13 08:00:00,facility_z_h0_FAC002_20210213_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210215_hr11,FAC002,2021-02-15 10:00:00,facility_z_h0_FAC002_20210215_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.88607,0.0015064244123355617
FAC002_20210215_hr19,FAC002,2021-02-15 18:00:00,facility_z_h0_FAC002_20210215_hr19.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210215_hr20,FAC002,2021-02-15 19:00:00,facility_z_h0_FAC002_20210215_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210215_hr21,FAC002,2021-02-15 20:00:00,facility_z_h0_FAC002_20210215_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210215_hr22,FAC002,2021-02-15 21:00:00,facility_z_h0_FAC002_20210215_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210215_hr23,FAC002,2021-02-15 22:00:00,facility_z_h0_FAC002_20210215_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210215_hr24,FAC002,2021-02-15 23:00:00,facility_z_h0_FAC002_20210215_hr24.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210216_hr01,FAC002,2021-02-16 00:00:00,facility_z_h0_FAC002_20210216_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210216_hr03,FAC002,2021-02-16 02:00:00,facility_z_h0_FAC002_20210216_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210216_hr04,FAC002,2021-02-16 03:00:00,facility_z_h0_FAC002_20210216_hr04.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210216_hr11,FAC002,2021-02-16 10:00:00,facility_z_h0_FAC002_20210216_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210217_hr01,FAC002,2021-02-17 00:00:00,facility_z_h0_FAC002_20210217_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.8758,0.0034367353892602974
FAC002_20210225_hr09,FAC002,2021-02-25 08:00:00,facility_z_h0_FAC002_20210225_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210225_hr14,FAC002,2021-02-25 13:00:00,facility_z_h0_FAC002_20210225_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210302_hr20,FAC002,2021-03-02 19:00:00,facility_z_h0_FAC002_20210302_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,2.74298,0.005451613543239164
FAC002_20210306_hr02,FAC002,2021-03-06 01:00:00,facility_z_h0_FAC002_20210306_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.48398,0.002300276040543455
FAC002_20210308_hr20,FAC002,2021-03-08 19:00:00,facility_z_h0_FAC002_20210308_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,2.71875,0.005974165624326074
FAC002_20210309_hr15,FAC002,2021-03-09 14:00:00,facility_z_h0_FAC002_20210309_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.6539,0.0010829997843433254
FAC002_20210314_hr17,FAC002,2021-03-14 16:00:00,facility_z_h0_FAC002_20210314_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,4.48618,0.0019207164114729352
FAC002_20210314_hr21,FAC002,2021-03-14 20:00:00,facility_z_h0_FAC002_20210314_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,4.72015,0.007763541945223203
FAC002_20210316_hr01,FAC002,2021-03-16 00:00:00,facility_z_h0_FAC002_20210316_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,3.68243,0.006992351089066207
FAC002_20210317_hr12,FAC002,2021-03-17 11:00:00,facility_z_h0_FAC002_20210317_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,4.71206,0.0027366154841492346
FAC002_20210318_hr21,FAC002,2021-03-18 20:00:00,facility_z_h0_FAC002_20210318_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.35167,0.004534720293293077
FAC002_20210319_hr14,FAC002,2021-03-19 13:00:00,facility_z_h0_FAC002_20210319_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.1321,0.0011414725037739916
FAC002_20210319_hr17,FAC002,2021-03-19 16:00:00,facility_z_h0_FAC002_20210319_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,1.49206,0.0018405262022859606
FAC002_20210321_hr04,FAC002,2021-03-21 03:00:00,facility_z_h0_FAC002_20210321_hr04.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,4.05432,0.008244399396161312
FAC002_20210323_hr11,FAC002,2021-03-23 10:00:00,facility_z_h0_FAC002_20210323_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210325_hr23,FAC002,2021-03-25 22:00:00,facility_z_h0_FAC002_20210325_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,4.03726,0.005437053267198619
FAC002_20210329_hr11,FAC002,2021-03-29 10:00:00,facility_z_h0_FAC002_20210329_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.1544,0.002200452016389907
FAC002_20210330_hr14,FAC002,2021-03-30 13:00:00,facility_z_h0_FAC002_20210330_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.5856,0.0017045387103730861
FAC002_20210402_hr03,FAC002,2021-04-02 02:00:00,facility_z_h0_FAC002_20210402_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,4.11363,0.008816995902523182
FAC002_20210412_hr13,FAC002,2021-04-12 12:00:00,facility_z_h0_FAC002_20210412_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.01831,0.001824716411472935
FAC002_20210415_hr16,FAC002,2021-04-15 15:00:00,facility_z_h0_FAC002_20210415_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,2.29738,0.0025794401552728056
FAC002_20210419_hr02,FAC002,2021-04-19 01:00:00,facility_z_h0_FAC002_20210419_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,9.67494,0.016856478326504207
FAC002_20210419_hr03,FAC002,2021-04-19 02:00:00,facility_z_h0_FAC002_20210419_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,8.34309,0.013992438214362734
FAC002_20210419_hr04,FAC002,2021-04-19 03:00:00,facility_z_h0_FAC002_20210419_hr04.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,9.7643,0.011533056286392064
FAC002_20210419_hr12,FAC002,2021-04-19 11:00:00,facility_z_h0_FAC002_20210419_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.32705,0.0022423424627992235
FAC002_20210424_hr10,FAC002,2021-04-24 09:00:00,facility_z_h0_FAC002_20210424_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,4.15457,0.0020710282510243688
FAC002_20210424_hr23,FAC002,2021-04-24 22:00:00,facility_z_h0_FAC002_20210424_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.35246,0.0042502204011214155
FAC002_20210426_hr02,FAC002,2021-04-26 01:00:00,facility_z_h0_FAC002_20210426_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0001,8.37843,0.017407776579685143
FAC002_20210430_hr09,FAC002,2021-04-30 08:00:00,facility_z_h0_FAC002_20210430_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.33053,0.0022566663791244337
FAC002_20210506_hr17,FAC002,2021-05-06 16:00:00,facility_z_h0_FAC002_20210506_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,2.0,0.0028546711235712748
FAC002_20210507_hr14,FAC002,2021-05-07 13:00:00,facility_z_h0_FAC002_20210507_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210519_hr12,FAC002,2021-05-19 11:00:00,facility_z_h0_FAC002_20210519_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,3.91096,0.0022533034289411256
FAC002_20210519_hr20,FAC002,2021-05-19 19:00:00,facility_z_h0_FAC002_20210519_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,4.25199,0.004144829846883761
FAC002_20210528_hr23,FAC002,2021-05-28 22:00:00,facility_z_h0_FAC002_20210528_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.71175,0.0015425615699805914
FAC002_20210529_hr02,FAC002,2021-05-29 01:00:00,facility_z_h0_FAC002_20210529_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.96866,0.0017965124002587878
FAC002_20210601_hr06,FAC002,2021-06-01 05:00:00,facility_z_h0_FAC002_20210601_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,8e-05,7.56129,0.00980019797282726
FAC002_20210602_hr21,FAC002,2021-06-02 20:00:00,facility_z_h0_FAC002_20210602_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00011,8.41273,0.01169630882035799
FAC002_20210608_hr09,FAC002,2021-06-08 08:00:00,facility_z_h0_FAC002_20210608_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,2.47384,0.0026958072029329306
FAC002_20210612_hr11,FAC002,2021-06-12 10:00:00,facility_z_h0_FAC002_20210612_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00012,2.40292,0.0031581022212637485
FAC002_20210612_hr12,FAC002,2021-06-12 11:00:00,facility_z_h0_FAC002_20210612_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210614_hr06,FAC002,2021-06-14 05:00:00,facility_z_h0_FAC002_20210614_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,4.78697,0.006840900582273021
FAC002_20210614_hr18,FAC002,2021-06-14 17:00:00,facility_z_h0_FAC002_20210614_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.63593,0.002541909424196679
FAC002_20210615_hr10,FAC002,2021-06-15 09:00:00,facility_z_h0_FAC002_20210615_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00012,2.50379,0.004168084537416433
FAC002_20210615_hr23,FAC002,2021-06-15 22:00:00,facility_z_h0_FAC002_20210615_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.21039,0.0030668121630364454
FAC002_20210616_hr19,FAC002,2021-06-16 18:00:00,facility_z_h0_FAC002_20210616_hr19.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.0642,0.0030367897347422907
FAC002_20210617_hr09,FAC002,2021-06-17 08:00:00,facility_z_h0_FAC002_20210617_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.18244,0.002215841708000863
FAC002_20210617_hr12,FAC002,2021-06-17 11:00:00,facility_z_h0_FAC002_20210617_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.59019,0.002311112788440802
FAC002_20210617_hr14,FAC002,2021-06-17 13:00:00,facility_z_h0_FAC002_20210617_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.46752,0.0031383269355186546
FAC002_20210619_hr12,FAC002,2021-06-19 11:00:00,facility_z_h0_FAC002_20210619_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210622_hr14,FAC002,2021-06-22 13:00:00,facility_z_h0_FAC002_20210622_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC002_20210622_hr18,FAC002,2021-06-22 17:00:00,facility_z_h0_FAC002_20210622_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,3.69966,0.003446522320465819
FAC002_20210623_hr10,FAC002,2021-06-23 09:00:00,facility_z_h0_FAC002_20210623_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.82922,0.002359583351304723
