scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC008_20210626_hr05,FAC008,2021-06-26 04:00:00,facility_z_h0_FAC008_20210626_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00019,524.69653,0.47656004528790163
FAC008_20210628_hr22,FAC008,2021-06-28 21:00:00,facility_z_h0_FAC008_20210628_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00018,196.30212,0.5748377787362519
FAC008_20210701_hr16,FAC008,2021-07-01 15:00:00,facility_z_h0_FAC008_20210701_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00012,42.48394,0.07562121069657107
FAC008_20210702_hr18,FAC008,2021-07-02 17:00:00,facility_z_h0_FAC008_20210702_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,8e-05,78.49889,0.07575835065775287
FAC008_20210703_hr12,FAC008,2021-07-03 11:00:00,facility_z_h0_FAC008_20210703_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00011,45.05468,0.05053699978434332
FAC008_20210706_hr16,FAC008,2021-07-06 15:00:00,facility_z_h0_FAC008_20210706_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00012,50.26537,0.07588733232693552
FAC008_20210709_hr17,FAC008,2021-07-09 16:00:00,facility_z_h0_FAC008_20210709_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00028,76.15338,0.150288263101143
FAC008_20210711_hr13,FAC008,2021-07-11 12:00:00,facility_z_h0_FAC008_20210711_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00012,48.45214,0.07961461505283589
FAC008_20210711_hr14,FAC008,2021-07-11 13:00:00,facility_z_h0_FAC008_20210711_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,29.29949,0.050380288548630574
FAC008_20210712_hr14,FAC008,2021-07-12 13:00:00,facility_z_h0_FAC008_20210712_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00013,38.53845,0.07235796937675221
FAC008_20210712_hr22,FAC008,2021-07-12 21:00:00,facility_z_h0_FAC008_20210712_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00021,67.82746,0.26178680008626265
FAC008_20210713_hr18,FAC008,2021-07-13 17:00:00,facility_z_h0_FAC008_20210713_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00011,47.03889,0.06506948414923441
FAC008_20210716_hr06,FAC008,2021-07-16 05:00:00,facility_z_h0_FAC008_20210716_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00022,110.29396,0.20266733017036878
FAC008_20210718_hr15,FAC008,2021-07-18 14:00:00,facility_z_h0_FAC008_20210718_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00012,62.75439,0.07475014837179211
FAC008_20210722_hr13,FAC008,2021-07-22 12:00:00,facility_z_h0_FAC008_20210722_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00016,46.69532,0.06941117619150312
FAC008_20210725_hr12,FAC008,2021-07-25 11:00:00,facility_z_h0_FAC008_20210725_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0005,43.35484,0.09315553892602976
FAC008_20210726_hr13,FAC008,2021-07-26 12:00:00,facility_z_h0_FAC008_20210726_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00015,57.17979,0.057609793832219126
FAC008_20210728_hr16,FAC008,2021-07-28 15:00:00,facility_z_h0_FAC008_20210728_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00013,42.37518,0.05699440414060816
FAC008_20210729_hr13,FAC008,2021-07-29 12:00:00,facility_z_h0_FAC008_20210729_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00026,40.94265,0.08902904722881173
FAC008_20210730_hr17,FAC008,2021-07-30 16:00:00,facility_z_h0_FAC008_20210730_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC008_20210731_hr01,FAC008,2021-07-31 00:00:00,facility_z_h0_FAC008_20210731_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00019,383.09838,0.48521402156566745
FAC008_20210731_hr24,FAC008,2021-07-31 23:00:00,facility_z_h0_FAC008_20210731_hr24.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.00023,130.73103,0.3837394966573216
FAC008_20210801_hr15,FAC008,2021-08-01 14:00:00,facility_z_h0_FAC008_20210801_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,6e-05,35.75243,0.05259257839120121
