scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC006_20210101_hr12,FAC006,2021-01-01 11:00:00,facility_z_h0_FAC006_20210101_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.29757,0.0007227470347207247
FAC006_20210102_hr20,FAC006,2021-01-02 19:00:00,facility_z_h0_FAC006_20210102_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,1.53291,0.006353005822730214
FAC006_20210104_hr02,FAC006,2021-01-04 01:00:00,facility_z_h0_FAC006_20210104_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,1.64101,0.005272595643735174
FAC006_20210104_hr11,FAC006,2021-01-04 10:00:00,facility_z_h0_FAC006_20210104_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.32076,0.0007011697218028897
FAC006_20210105_hr09,FAC006,2021-01-05 08:00:00,facility_z_h0_FAC006_20210105_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.75165,0.0016888984257062754
FAC006_20210107_hr16,FAC006,2021-01-07 15:00:00,facility_z_h0_FAC006_20210107_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.94214,0.0007617377614837181
FAC006_20210114_hr09,FAC006,2021-01-14 08:00:00,facility_z_h0_FAC006_20210114_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,0.33801,0.0010858291999137372
FAC006_20210114_hr14,FAC006,2021-01-14 13:00:00,facility_z_h0_FAC006_20210114_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.33952,0.0007296872978218678
FAC006_20210116_hr18,FAC006,2021-01-16 17:00:00,facility_z_h0_FAC006_20210116_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,2.14879,0.005832114729350873
FAC006_20210116_hr21,FAC006,2021-01-16 20:00:00,facility_z_h0_FAC006_20210116_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,5e-05,1.91081,0.006150219538494716
FAC006_20210117_hr03,FAC006,2021-01-17 02:00:00,facility_z_h0_FAC006_20210117_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,0.80572,0.0026589394004744448
FAC006_20210121_hr10,FAC006,2021-01-21 09:00:00,facility_z_h0_FAC006_20210121_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,0.45721,0.0013575579038171228
FAC006_20210122_hr15,FAC006,2021-01-22 14:00:00,facility_z_h0_FAC006_20210122_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,4e-05,0.46131,0.0014216182876860039
FAC006_20210122_hr17,FAC006,2021-01-22 16:00:00,facility_z_h0_FAC006_20210122_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,0.40999,0.0013302040112141472
FAC006_20210130_hr23,FAC006,2021-01-30 22:00:00,facility_z_h0_FAC006_20210130_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,0.46831,0.0021925796851412554
FAC006_20210201_hr05,FAC006,2021-02-01 04:00:00,facility_z_h0_FAC006_20210201_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,0.6151,0.001859940910071167
FAC006_20210201_hr18,FAC006,2021-02-01 17:00:00,facility_z_h0_FAC006_20210201_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,0.37966,0.0016753383653224068
